"County","State","Year","n"
"Dallas","TX",2014,1
"Harris","TX",2014,3
"Harrison","MO",2014,1
"Jackson","MO",2014,2
"Jefferson","FL",2014,1
"Kay","OK",2014,1
"Lake","FL",2014,1
"Leon","FL",2014,1
"Miami-Dade","FL",2014,1
"Nueces","TX",2014,1
"Oklahoma","OK",2014,1
"Pasco","FL",2014,1
"Pima","AZ",2014,1
"Polk","FL",2014,1
"Preble","OH",2014,1
"St. Charles","MO",2014,2
"St. Louis","MO",2014,3
"Tarrant","TX",2014,1
"Tulsa","OK",2014,1
"Val Verde","TX",2014,1
"Washington","MO",2014,1
"Barry","MO",2015,1
"Bexar","TX",2015,3
"Dallas","TX",2015,2
"Dougherty","GA",2015,1
"Ellis","TX",2015,1
"Escambia","FL",2015,1
"Fairfax","VA",2015,1
"Grayson","TX",2015,1
"Gwinnett","GA",2015,1
"Harris","TX",2015,2
"Jackson","MO",2015,1
"Laurens","GA",2015,1
"Lee","GA",2015,1
"Madison","TX",2015,1
"Newton","GA",2015,1
"Nueces","TX",2015,1
"Oklahoma","OK",2015,1
"Orange","FL",2015,1
"Smith","TX",2015,2
"St. Charles","MO",2015,1
"St. Clair","MO",2015,1
"St. Louis","MO",2015,2
"Bacon","GA",2016,1
"Baldwin","GA",2016,1
"Cobb","GA",2016,1
"Collin","TX",2016,1
"Fulton","GA",2016,1
"Harris","TX",2016,2
"Hidalgo","TX",2016,1
"Houston","GA",2016,1
"Houston County","TX",2016,1
"Hunt","TX",2016,1
"Jefferson","AL",2016,1
"Jones","GA",2016,1
"Lumpkin","GA",2016,1
"Madison","AL",2016,1
"Pasco","FL",2016,1
"Platte","MO",2016,1
"Spalding","GA",2016,1
"Telfair","GA",2016,1
"Wharton","TX",2016,1
"Bee","TX",2017,1
"Bexar","TX",2017,2
"Cuyahoga","OH",2017,1
"Dallas","TX",2017,1
"Duval","FL",2017,1
"Etowah","AL",2017,1
"Glades","FL",2017,1
"Hidalgo","TX",2017,1
"Hillsborough","FL",2017,1
"Jefferson","AL",2017,1
"Lincoln","AR",2017,1
"Maries","MO",2017,1
"Montgomery","AL",2017,1
"Murray","GA",2017,1
"Pulaski","AR",2017,2
"Richmond","VA",2017,1
"Summit","OH",2017,1
"Tarrant","TX",2017,2
"Washington","VA",2017,1
"White","AR",2017,1
"","",NA,2
